customerId,productId,timestamp
7,114,851866703
9,3,938629179
13,26,1331380058
15,144,997938310
19,139,855190091
20,157,1238729767
23,56,1148729853
26,142,1360087980
30,152,944943070
37,18,981308121
43,134,974768260
44,34,858707138
47,38,832228931
48,24,1318796720
55,37,855926941
56,83,1467004817
63,52,1079098216
67,115,854711770
68,59,1194741818
69,104,1366831110
70,107,853954235
72,11,1461778737
73,45,1303464840
75,38,1165607201
77,90,1163005363
79,75,1182994648
84,94,1429910800
86,133,848161799
87,144,858623186
89,95,1257620018
90,95,875517174
91,32,1448798200
92,93,848526251
93,95,1304992014
94,103,1291779829
97,118,1460342505
99,121,938586006
100,106,854193977
106,120,1215818369
112,117,852720865
119,15,913048158
120,40,1167422234
121,138,833058442
122,5,832773057
124,47,1147862310
125,110,1269736592
126,145,833286470
128,38,1049690031
130,86,1138997743
134,150,1361244876
136,102,1405977265
138,111,1440379001
142,83,997731606
146,62,1256071139
149,3,1436919660
150,151,1114306148
152,43,1335947960
153,124,1046739645
154,107,850917310
157,18,1291598726
163,110,1390767736
164,134,1179531301
165,91,1111482682
168,108,848866772
169,33,1234228717
173,108,875357598
175,133,1052837092
176,61,1340720798
177,93,907515679
178,8,1437425800
179,121,1436669947
184,87,833524830
185,123,1003523268
187,19,1228072644
193,2,971216031
200,4,1437932719
201,123,1110421816
205,137,1442148577
212,123,1218405007
213,107,1462637445
215,70,860559708
219,118,974475264
220,128,970498319
224,80,828213150
232,45,955088635
237,131,1102009632
240,65,1098943177
241,94,847339737
242,41,956682763
247,158,953361586
252,120,869101312
253,23,1215831130
261,127,1101665532
262,2,1433898798
268,129,1314894068
272,124,1453587590
273,62,1466945564
275,129,1350254117
282,49,1111493773
283,129,1114997963
284,128,853878868
285,51,965091874
287,127,1469161081
292,116,1140049726
293,124,1064615574
294,85,1047071649
306,139,956083012
311,148,898007830
312,86,959933200
313,121,1105354580
314,54,1437338091
318,55,862902604
321,116,939420838
324,72,1451524648
328,28,1147996106
329,10,867072004
333,50,1441197471
334,7,1447031887
336,58,995826976
343,83,881166397
344,30,853736711
345,28,1106949170
350,30,1005938887
353,141,1112268707
354,110,846062607
355,8,1130104529
357,95,832768614
358,114,957480017
361,41,864050973
363,58,942344684
379,143,1378180411
380,134,1048092869
382,122,1371772711
383,8,852806429
390,62,867073566
396,13,834998311
401,75,977459322
402,66,1443393600
403,82,850779492
406,122,1447951646
407,90,962646314
408,140,933035002
409,29,828212413
